_id,ano,memoria,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
B00IRZ8EQC,2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0
B00J8OA220,2024.0,160.0,inmarsat,2.0,lcd,2.9,2.0,10.16,318.0,240.0,320.0,160.0,0.8,199.99,933.0
B00JC8MD7Y,2024.0,256.0,samsung,6.7,superamoled,2.2,6.0,0.77,179.0,1080.0,2400.0,4500.0,1761.8181818181818,279.99,279.99
B00TKALUDC,2015.0,128.0,ttfone,2.0,lcd,0.0,32.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99,41.99
B00TUXHZTW,2015.0,128.0,doro,2.0,lcd,1.2,16.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67
B00VM0D0W2,2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,0.03,540.0,1560.0,1440.0,5000.0,465.7142857142857,449.9,449.9
B00XAD2IC2,1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0
B00XHYJ2XW,2024.0,256.0,thuraya,6.1,lcd,2.7,32.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,499.99,1335.0
B01BWV9A42,2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0
B01BYD0ZRO,2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0
B01DYN5N06,2016.0,256.0,huawei,5.2,ips,2.0,3.0,0.75,147.0,1080.0,1920.0,3000.0,566.25,448.96,448.96
B06XCJP94G,2019.0,128.0,samsung,4.99,lcd,1.1,16.0,0.97,172.93,1280.0,720.0,2800.0,239.76190476190476,149.99,144.99
B06XW81R9G,2017.0,256.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99
B06XW8Q72D,2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99
B071HTGC1R,2017.0,128.0,nokia,1.8,lcd,0.9,32.0,1.28,60.0,1080.0,2400.0,1200.0,2697.948717948718,35.62,32.34
B0759QPPKN,2019.0,128.0,hipipooo,2.5,oled,0.8,2.0,2.0,18.0,800.0,480.0,800.0,306.4102564102564,27.0,27.0
B07DZXJ4C7,2019.0,128.0,artfone,1.8,lcd,0.8,24.0,1.39,180.0,1080.0,2400.0,1400.0,1202.6190476190475,28.99,28.99
B07HKNF367,2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272726,163.13,163.13
B07KVX2G29,2024.0,256.0,motorola,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.902439024390246,184.0,184.0
B07MJRQY64,2018.0,800.0,nokia,1.8,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.98,22.99
